consolidated_symptom,umls,regex,entities
anaphylactic shock,anaphylactic shock,anaphyla(ctic (atta|sho)cks?|xis shock),anaphylactic attacks|anaphylaxis shock|anaphylactic shock|anaphylactic attack
anaphylaxis,anaphylactic shock,(#anaphylactic shock|a(llergic shock|naphyla(ctic (( allergic ) shocks|shock( reactions?|s?))|tic shock))),#anaphylactic shock|anaphylactic shock reactions|anaphylatic shock|anaphylactic shock reaction|anaphylactic shock|anaphylactic shocks|allergic shock|anaphylactic ( allergic ) shocks
anaphylaxis,anaphylaxis,"(#a(llergi(c|es)|naphylaxis)|a(llerg(enic|i(c( ("" reactions?|( actually thought to had the virus ) reaction|attacks?|re(action|sponse)s?|“ reactions))?|es)|y (flare|reaction)s?)|naphyla(ct(ic (allerg(ies|y)|responses)|oid ("" )?reactions?)|xi(c reactions?|s( (episodes?|problems|reactions?|shock))?))|typical anaphylaxis)|drug allergies|hypersensitivity reactions?|latex (- )?allergy|s(easonal allerg(ies|y)|hellfish allergy|ystemic allergic reactions?))","allergic attacks|allergy reactions|systemic allergic reactions|allergic "" reaction|hypersensitivity reaction|anaphylaxis problems|anaphylactoid reaction|allergies|systemic allergic reaction|seasonal allergy|anaphylactoid "" reaction|anaphylactic allergies|drug allergies|shellfish allergy|allergic ( actually thought to had the virus ) reaction|anaphylactoid reactions|allergic|seasonal allergies|anaphylactic allergy|hypersensitivity reactions|anaphylaxis episodes|allergenic|atypical anaphylaxis|anaphylaxis reaction|latex allergy|anaphylaxis shock|latex - allergy|anaphylaxis reactions|anaphylaxis episode|#allergic|allergic reactions|allergy flare|allergy flares|anaphylaxis|allergic attack|allergy reaction|allergic reaction|allergic "" reactions|allergic response|#allergies|anaphylaxic reactions|anaphylactic responses|#anaphylaxis|allergic “ reactions|anaphylaxic reaction"
anaphylaxis,shock,(anaphylaxis shock|body (go(es|ing)? into shock|(is going|went) into shock)|cardiogenic shocks?|(diabet|hypovolem)ic shock|s(eptic (- )?shocks?|hocks?)|toxic (- )?shock),diabetic shock|shock|body goes into shock|septic shock|body went into shock|anaphylaxis shock|body going into shock|cardiogenic shocks|toxic shock|body is going into shock|toxic - shock|septic - shock|cardiogenic shock|shocks|hypovolemic shock|body go into shock|septic shocks
anger,anger reaction,anger( (problems|reaction))?,anger problems|anger reaction|anger
anhedonia,anhedonia,anhedonia,anhedonia
anxiety,anxiety,(#anxiety|an((exi|iex)ty|x(eity|i(e(#ty|t(ies|y( (problems?|sy(mptoms|ndrome))|[#\s]?)))|(ous|tey)))|ziety)|h(angxiety|igh (- )?functioning anxiety)|social anxiety),anxiety symptoms|anxietys|high functioning anxiety|anexity|anxieties|anziety|anxie#ty|hangxiety|anxitey|anxiety|social anxiety|high - functioning anxiety|anxiety\|anxeity|aniexty|anxiety problems|anxiety problem|anxious|anxiety#|#anxiety|anxiety syndrome
anxiety,anxiety and fear,(anxiety and fear|fearful),fearful|anxiety and fear
anxiety,anxiety attack,anxiety ((( ? ) attacks|- attack)|(attack|episode|flare)s?),anxiety flares|anxiety flare|anxiety episode|anxiety - attack|anxiety episodes|anxiety ( ? ) attacks|anxiety attack|anxiety attacks
anxiety,anxiety disorder,anxiety (dis(order|tress)|episodes?),anxiety episodes|anxiety distress|anxiety episode|anxiety disorder
anxiety,anxiety state,anxiety (level( is (very )?high|s (are (so )?high|(being |were )?high))|state),anxiety levels high|anxiety level is high|anxiety levels were high|anxiety levels are so high|anxiety levels are high|anxiety level is very high|anxiety levels being high|anxiety state
anxiety,anxious mood,anxious( (feeling|mood)|ness),anxiousness|anxious mood|anxious feeling
anxiety,chronic anxiety,chronic anxiety,chronic anxiety
anxiety,feeling jittery,(feeling jittery|jitters),jitters|feeling jittery
anxiety,generalized anxiety disorder,generalized anxiety( disorder)?,generalized anxiety disorder|generalized anxiety
anxiety,nervousness,nervous( (- breakdown|breakdown|disorders)|ness),nervous breakdown|nervousness|nervous - breakdown|nervous disorders
arrhythmia,cardiac arrhythmia,"(a(bnormalities in (heart rhythm|their heart rhythms)|rr(hythmi(as|c)|ythmia))|cardiac arrh?ythmias?|dysrhythmia|heart (("" arrhythmia|- rhythm problem)s|ar(rh?ythmias?|ythmias?)|rhythm ((abnormaliti|disturbanc)es|problems?))|ventricular arrhythmias)","abnormalities in heart rhythm|dysrhythmia|heart arythmias|heart arythmia|heart "" arrhythmias|heart rhythm problems|heart arrythmia|heart rhythm abnormalities|arrhythmias|abnormalities in their heart rhythms|ventricular arrhythmias|arrythmia|heart rhythm problem|heart arrythmias|arrhythmic|heart arrhythmias|cardiac arrythmia|cardiac arrhythmia|heart rhythm disturbances|heart - rhythm problems|cardiac arrhythmias|heart arrhythmia"
arterial hemorrhage,arterial hemorrhage,(arterial hemorrhage|cerebral ha?emorrhages?),cerebral haemorrhage|arterial hemorrhage|cerebral hemorrhage|cerebral haemorrhages
asthma,asthma,a(s(mth|thm)a|thsma),asthma|athsma|asmtha
ataxia,ataxia,ataxia,ataxia
back pain,backache,"(#backpain|achy back|back( ("" injuries|( (and subluxated rib ) is hurting|lungs ) hurt|right lower shoulder blade ) hurts)|. hurts|a(chy|lready hurts?|re hurting)|back|be( hurting|en (hurting|in pain))|h(a(d been hurting|s been (achy|hurting|in pain|so painful))|(er|is) back|urt(ing|s)?)|i(n( pain|juries)|s (. . . hurt|a(chy|lready hurt)|hurt(ing)?(gggg)?|in (so much )?pain|(literally in pain|painful)|really (hurting|painful)|s(o|uper) (achy|painful)|(the most|very) painful))|literally (hurts|was in pain)|(my back|pains)|really (hurt|painful)s?|s(o( hurt|reness)|(uper painful)?)|their back|w(as (achy|hurt(ing)?|(in pain|so painful|very painful))|ere hurting))|ache|pains?)|hurt( (back|h(er|is) back|(my|their) back)|ing my back|s (his |my )?back)|injure( my back|d (my )?back)|low( back really hurts|er back (even hurts|hurts?|really hurts))|pain( on ((his |my )?back|the(ir)? back|your back)|ful back)|sore backs?)","injure my back|achy back|pain on your back|back was achy|back has been so painful|back hurt|back is the most painful|back is in pain|back was so painful|sore backs|hurt my back|lower back hurt|backpains|back is hurtinggggg|painful back|back pains|back is really painful|back . hurts|backache|back is hurting|back has been hurting|back was very painful|#backpain|hurt their back|back already hurts|back is very painful|back is . . . hurt|back has been in pain|back "" injuries|back is so painful|lower back hurts|back was in pain|hurts my back|pain on his back|back are hurting|back super painful|lower back even hurts|back were hurting|back is already hurt|back been in pain|hurts back|back was hurting|backpain|back soreness|pain on back|back really painful|back is hurt|hurt her back|back had been hurting|back really hurt|back hurting|back injuries|hurt back|injured back|back be hurting|back has been achy|back is super achy|back is achy|back is really hurting|back is super painful|back is so achy|back been hurting|sore back|back was hurt|back is literally in pain|pain on the back|back is in so much pain|back achy|lower back really hurts|back hurts|back is painful|low back really hurts|hurt his back|back really hurts|back literally hurts|back ( right lower shoulder blade ) hurts|back in pain|back ( and subluxated rib ) is hurting|back literally was in pain|back already hurt|back so hurt|pain on my back|back ( lungs ) hurt|pain on their back|injured my back|hurts his back|hurting my back"
back pain,c/o - low back pain,(c/o - low back pain|low( back is sore|er back (has been sore|is (really sore|so( so)?re)|(was )?sore))|sore (- lower back|low(er)? back)),lower back was sore|lower back is really sore|c/o - low back pain|sore low back|lower back is sore|lower back has been sore|low back is sore|sore lower back|lower back sore|sore - lower back|lower back is so sore
back pain,chronic back pain,chronic back (- )?pain,chronic back - pain|chronic back pain
back pain,chronic low back pain,chronic low( (- )?back pain|er back pain),chronic low back pain|chronic lower back pain|chronic low - back pain
back pain,flank pain,flank pain,flank pain
back pain,low back pain,(low( (- )?back pain|er (- back pain|back (( kidneys ) )?pain))|pain in (his low(er)? back|(my |the |your )?lower back)),low - back pain|lower - back pain|pain in my lower back|pain in lower back|pain in the lower back|low back pain|pain in his low back|pain in your lower back|lower back ( kidneys ) pain|lower back pain|pain in his lower back
back pain,pain in lumbar spine,(lumbar pain|pain in lumbar spine),pain in lumbar spine|lumbar pain
back pain,pain in spine,(pain in spine|spin(al pain|e (injuries|pain))),spine pain|pain in spine|spine injuries|spinal pain
back pain,renal pain,(kidney( (ache|pains?|stones? pain)|s ache)|pain i(n (h(er kidneys|is kidney)s?|(my |the )?kidneys?)|s in kidneys)|renal pain),pain in her kidneys|pain in his kidneys|kidney stone pain|renal pain|kidneys ache|pain is in kidneys|pain in the kidney|pain in kidneys|pain in my kidney|pain in my kidneys|pain in the kidneys|pain in his kidney|kidney pain|pain in kidney|kidney stones pain|kidney pains|kidney ache
back pain,sciatica,(#sciatica pain|sciatic( (nerve )?pain|a( (flare|pain)s?)?)),sciatica flares|sciatic nerve pain|sciatica|#sciatica pain|sciatica pain|sciatica flare|sciatic pain
barking cough,barking cough,bark(ing|y) cough,barking cough|barky cough
bladder pain,bladder pain,(gall)?bladder pain,gallbladder pain|bladder pain
bleeding,arterial hemorrhage,(arterial hemorrhage|rupture( blood vessels|d blood vessel)s?),rupture blood vessels|arterial hemorrhage|ruptured blood vessels|ruptured blood vessel
bleeding,bleeding from anus,(anal bleeding|bleeding from anus),bleeding from anus|anal bleeding
bleeding,bleeding from ear,(bleeding (ears|from (ears?|h(er|is) ears?|my ears?|the( ear|ir ears)s?|your ears))|ear( ((- |are |is )?bleeding|w(as|ere) bleeding)|s (are (bleeding|going to bleed|literally bleeding)|bleed(ing)?|(have been|were) bleeding))),bleeding from ear|bleeding from ears|ears are bleeding|bleeding from their ears|ears have been bleeding|ears bleed|ears bleeding|bleeding from the ear|bleeding from your ears|bleeding from her ear|bleeding from my ear|bleeding ears|ears are going to bleed|ears were bleeding|bleeding from my ears|ear was bleeding|ear bleeding|ear - bleeding|ear were bleeding|ear is bleeding|bleeding from her ears|ears are literally bleeding|ear are bleeding|bleeding from his ear|bleeding from the ears|bleeding from his ears
bleeding,bleeding from mouth,(bleeding from mouth|mouth (. . . |is |was )?bleeding),mouth bleeding|mouth was bleeding|mouth is bleeding|bleeding from mouth|mouth . . . bleeding
bleeding,bleeding gums,(bleeding gums|gums (are bleeding|bleed(ing)?|(have been|were) bleeding)),bleeding gums|gums are bleeding|gums bleeding|gums were bleeding|gums bleed|gums have been bleeding
bleeding,bleeding hemorrhoids,(#hemorrhoid|bleeding hemorrhoids|hemorrhoid),#hemorrhoid|bleeding hemorrhoids|hemorrhoid
bleeding,bleeds profusely,(bleed(ing (a lot of blood|heavily|really heavily|too much blood|very heavily)|s profusely)|los(es? (a lot of|too much) blood|(ing|t) (a lot of|too much) blood)),bleeding heavily|lose too much blood|lose a lot of blood|loses a lot of blood|losing too much blood|bleeds profusely|lost too much blood|lost a lot of blood|losing a lot of blood|loses too much blood|bleeding very heavily|bleeding really heavily
bleeding,blood coagulation disorder,(abnormal (blood )?clottings?|blood (- clotting (abnormalities|disorder|problem)s?|c(lot( disorder|ting (abnormalities|disorder|problem)s?)|oagulation (disorder|problem)s?))|c(lotting (abnormalities|disorder)s?|oagulation (abnormalit(ies|y)|disorders))|disseminated intravascular coagulation|hypercoagulability|intravascular coagulations?),blood clotting disorders|blood - clotting problems|coagulation abnormalities|hypercoagulability|intravascular coagulation|coagulation abnormality|abnormal blood clottings|abnormal clotting|intravascular coagulations|clotting disorder|blood coagulation disorder|coagulation disorders|blood - clotting problem|blood clot disorder|blood coagulation problem|blood coagulation problems|clotting disorders|disseminated intravascular coagulation|clotting abnormalities|blood clotting disorder|abnormal blood clotting|blood clotting problem|blood clotting abnormalities|blood clotting problems|blood - clotting disorder|blood - clotting abnormalities|blood - clotting disorders
bleeding,capillary hemorrhage,(capillary hemorrhage|microvascular (damages?|injur(ies|y))),capillary hemorrhage|microvascular damages|microvascular injuries|microvascular injury|microvascular damage
bleeding,hematoma,hematoma,hematoma
